iterID,x1,x2,x3,x4,Pareto_f1,Pareto_f2,Pareto_f3
6,3.5,0.45,8.3,2.38,-0.9310970540134836,-2.2360843100944483,-3.7350000000000003
6,2.0,0.9800000190734863,9.989999771118164,2.200000047683716,-0.9277660729901718,-2.356213812134648,-9.790199966239925
6,3.5,0.68,6.349999999999999,1.0,-0.856153929704573,-2.4576719805442826,-4.318
6,2.9599999999999995,1.0,10.0,2.22,-0.8109588158535359,-2.5036969812664776,-10.0
6,3.36,0.27,7.010000000000001,1.47,-0.7277469928597159,-2.556102902523675,-1.8927000000000003
6,2.99,0.14,6.830000000000001,1.8500000000000003,-0.524497698607119,-3.325169740804484,-0.9562000000000003
7,3.27,0.64,5.07,1.91,-0.9351081860872751,-2.0782799979579045,-3.2448
7,3.5,0.45,8.3,2.38,-0.9310970540134836,-2.2360843100944483,-3.7350000000000003
7,2.0,0.9800000190734863,9.989999771118164,2.200000047683716,-0.9277660729901718,-2.356213812134648,-9.790199966239925
7,3.5,0.68,6.349999999999999,1.0,-0.856153929704573,-2.4576719805442826,-4.318
7,3.27,0.57,8.53,2.4,-0.8114609826807238,-2.3639569434839425,-4.862099999999999
7,2.9599999999999995,1.0,10.0,2.22,-0.8109588158535359,-2.5036969812664776,-10.0
7,3.36,0.27,7.010000000000001,1.47,-0.7277469928597159,-2.556102902523675,-1.8927000000000003
7,2.99,0.14,6.830000000000001,1.8500000000000003,-0.524497698607119,-3.325169740804484,-0.9562000000000003
8,3.27,0.64,5.07,1.91,-0.9351081860872751,-2.0782799979579045,-3.2448
8,3.5,0.45,8.3,2.38,-0.9310970540134836,-2.2360843100944483,-3.7350000000000003
8,2.0,0.9800000190734863,9.989999771118164,2.200000047683716,-0.9277660729901718,-2.356213812134648,-9.790199966239925
8,3.5,0.68,6.349999999999999,1.0,-0.856153929704573,-2.4576719805442826,-4.318
8,2.52,0.46,8.96,1.23,-0.8522690302279327,-2.4683625725853697,-4.121600000000001
8,3.27,0.57,8.53,2.4,-0.8114609826807238,-2.3639569434839425,-4.862099999999999
8,2.9599999999999995,1.0,10.0,2.22,-0.8109588158535359,-2.5036969812664776,-10.0
8,2.72,0.15,6.86,1.3500000000000003,-0.7753997386344773,-2.5273685131503747,-1.029
8,3.36,0.27,7.010000000000001,1.47,-0.7277469928597159,-2.556102902523675,-1.8927000000000003
8,2.99,0.14,6.830000000000001,1.8500000000000003,-0.524497698607119,-3.325169740804484,-0.9562000000000003
9,3.23,0.9899999999999999,4.0,1.09,-0.9406382296808498,-2.299936721262137,-3.9599999999999995
9,2.0,0.9800000190734863,9.989999771118164,2.200000047683716,-0.9277660729901718,-2.356213812134648,-9.790199966239925
9,3.5,0.68,6.349999999999999,1.0,-0.856153929704573,-2.4576719805442826,-4.318
9,2.52,0.46,8.96,1.23,-0.8522690302279327,-2.4683625725853697,-4.121600000000001
9,3.27,0.57,8.53,2.4,-0.8114609826807238,-2.3639569434839425,-4.862099999999999
