iterID,x1,x2,x3,x4,f1,rho_f1,mvar_f1,f2,rho_f2,mvar_f2,f3,rho_f3,mvar_f3,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Expected_f3,Uncertainty_f3,Acquisition_f3,Hypervolume_indicator,MVaR_Hypervolume_indicator
2,2.9599999999999995,1.0,10.0,2.22,-0.8917796928152754,0.003977177245706651,-0.8109588158535359,-2.653333333333333,0.013633333333333369,-2.5036969812664776,-10.0,0.0,-10.0,-0.9000850649186238,0.27757920426232635,-0.9000850649186238,-2.603014677376047,0.689735252816639,-2.603014677376047,-10.000000298023224,1e-05,-10.000000298023224,23.979587362771277,21.527107575011026
3,3.5,0.68,6.349999999999999,1.0,-0.9031698167222609,0.0013459133384383336,-0.856153929704573,-2.5666666666666664,0.007233333333333317,-2.4576719805442826,-4.318,0.0,-4.318,-0.8378481170458605,0.17825916137004047,-0.8378481170458605,-2.559493306460427,0.6187723844996612,-2.559493306460427,-4.318000128686428,1e-05,-4.318000128686428,23.982713042585388,21.649207047339328
3,3.36,0.27,7.010000000000001,1.47,-0.8304767915031532,0.006425703805400861,-0.7277469928597159,-2.6166666666666667,0.002233333333333326,-2.556102902523675,-1.8927000000000003,0.0,-1.8927000000000003,-0.8542777514722989,0.19555760602168773,-0.8542777514722989,-2.7020754900979744,0.672586710922925,-2.7020754900979744,-1.8927000564068557,1e-05,-1.8927000564068557,23.982713042585388,21.649207047339328
4,3.09,0.18000000000000002,5.97,1.0,-0.8147818446730358,0.01174778325480319,-0.675878069877625,-2.5166666666666666,0.007033333333333346,-2.4091893819973604,-1.0746,0.0,-1.0746,-0.8585853608809215,0.17203820003925435,-0.8585853608809215,-2.613063171512331,0.5969547097107897,-2.613063171512331,-1.0746000320255757,1e-05,-1.0746000320255757,23.982713042585388,21.649207047339328
4,3.25,0.23,6.07,1.82,-0.8205810477432163,0.00989373862165101,-0.6931086068692014,-2.6533333333333333,0.012633333333333356,-2.509289369750245,-1.3961000000000001,0.0,-1.3961000000000001,-0.7588571644303034,0.12109771588240838,-0.7588571644303034,-2.9488468178950487,0.47814058448550895,-2.9488468178950487,-1.3961000416070224,1e-05,-1.3961000416070224,23.982713042585388,21.649207047339328
5,2.99,0.14,6.830000000000001,1.8500000000000003,-0.7634042014280772,0.034752317476240066,-0.524497698607119,-3.67,0.07240000000000006,-3.325169740804484,-0.9562000000000003,0.0,-0.9562000000000003,-0.7136820740625038,0.0942527720599126,-0.7136820740625038,-2.923882947820585,0.34154759952967106,-2.923882947820585,-0.9562000284969809,1e-05,-0.9562000284969809,24.803557658843204,22.31577137054896
5,2.83,0.8000000000000002,10.0,2.5,-0.911244016286039,0.0015226380576595178,-0.8612365989418749,-2.3966666666666665,0.002633333333333325,-2.3309025480819257,-8.000000000000002,0.0,-8.000000000000002,-0.8532695793859557,0.13993200202084544,-0.8532695793859557,-2.6121767070413604,0.5534379528578958,-2.6121767070413604,-8.00000023841858,1e-05,-8.00000023841858,24.803557658843204,22.31577137054896
6,3.0499999999999994,0.22,8.11,1.72,-0.8606376323841435,0.0033736214537354982,-0.7862014210215565,-2.46,0.021100000000000035,-2.2738438822932183,-1.7841999999999998,0.0,-1.7841999999999998,-0.8416532201405008,0.0728673316374006,-0.8416532201405008,-3.1003951854958296,0.42595649874302416,-3.1003951854958296,-1.7842000531733033,1e-05,-1.7842000531733033,24.803557658843204,22.320723073377447
6,3.5,0.45,8.3,2.38,-0.9368397499819575,2.0079804386941474e-05,-0.9310970540134836,-2.3066666666666666,0.003033333333333345,-2.2360843100944483,-3.7350000000000003,0.0,-3.7350000000000003,-0.8039468249038384,0.189999680439258,-0.8039468249038384,-2.6047473123916722,0.6490139823822583,-2.6047473123916722,-3.7350001113116744,1e-05,-3.7350001113116744,24.803557658843204,22.320723073377447
7,3.5,0.18000000000000002,7.13,2.38,-0.8729099331580814,0.00030453158378981204,-0.850545790388428,-2.3666666666666667,0.02773333333333327,-2.153245681022124,-1.2834,0.0,-1.2834,-0.826856090082882,0.11029688443610751,-0.826856090082882,-3.1167181757993427,0.4635748144179457,-3.1167181757993427,-1.2834000382483004,1e-05,-1.2834000382483004,24.803557658843204,22.320725189025257
