iterID,x1,x2,f1,rho_f1,mvar_f1,f2,rho_f2,mvar_f2,f3,rho_f3,mvar_f3,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Expected_f3,Uncertainty_f3,Acquisition_f3,Hypervolume_indicator,MVaR_Hypervolume_indicator
1,3.5,0.264422814079213,-0.8759193632290705,0.001980577344879567,-0.8188856051689921,-2.5399999999999996,0.00029999999999999054,-2.517802875759573,-0.264422814079213,0.0,-0.264422814079213,-0.6076353953455669,0.23650184845913783,-0.6076353953455669,-2.809171170506708,1.1473400628589088,-2.809171170506708,-0.26278029766553057,0.028794202325029744,-0.26278029766553057,2.594134529083993,1.7694243702298795
1,3.1364653293073004,1.0,-0.93882289093458,0.00037950626615012277,-0.9138570866832847,-2.283333333333333,0.0030333333333333093,-2.2127509767611153,-1.0,0.0,-1.0,-0.7499924376992868,0.12356178309143745,-0.7499924376992868,-3.035057149083583,0.797033291684431,-3.035057149083583,-0.9946757518748154,0.008709329225723981,-0.9946757518748154,2.594134529083993,1.7694243702298795
2,2.47,0.49,-0.9293157377902242,4.752209637084483e-05,-0.9204811990227639,-2.5733333333333337,0.000933333333333338,-2.534181286292685,-0.49,0.0,-0.49,-0.903697231407075,0.047841344568827375,-0.903697231407075,-2.6003098757896628,0.37430381372547233,-2.6003098757896628,-0.49045905512568444,0.0031629476660407145,-0.49045905512568444,2.6078737971489097,1.9719047781003822
2,2.9,0.20000000000000004,-0.8467189107265508,0.014201054740414432,-0.6939987451497722,-2.483333333333333,0.003033333333333329,-2.4127509767611146,-0.20000000000000004,0.0,-0.20000000000000004,-0.7892067779039752,0.09170223557067418,-0.7892067779039752,-2.884337239748079,0.693968921006332,-2.884337239748079,-0.19742024163065547,0.004577517598506269,-0.19742024163065547,2.6078737971489097,1.9719047781003822
2,2.21,1.0,-0.945788623970043,2.3228709252188476e-05,-0.9396120360954355,-2.513333333333333,0.00023333333333333078,-2.493757309813009,-1.0,0.0,-1.0,-0.52436746180783,0.07521836058459024,-0.52436746180783,-2.266070685215679,0.6830432231355174,-2.266070685215679,-0.9967198154824728,0.0055190964055211655,-0.9967198154824728,2.6078737971489097,1.9719047781003822
2,2.62,0.83,-0.9432622893823152,1.969509151825026e-05,-0.9375748721817215,-2.3666666666666667,0.01013333333333335,-2.2376599714650163,-0.83,0.0,-0.83,-0.8812902416385804,0.08752818323373313,-0.8812902416385804,-2.6698006124868523,0.532400440577109,-2.6698006124868523,-0.8315143412011095,0.005648697738094073,-0.8315143412011095,2.6078737971489097,1.9719047781003822
2,2.9599999999999995,0.27,-0.7436730898204061,0.005544576358548708,-0.6482463097525188,-2.83,0.012900000000000002,-2.6844437223771074,-0.27,0.0,-0.27,-0.9175648451567591,0.08766413138220268,-0.9175648451567591,-2.6331083152795034,0.6661449311383527,-2.6331083152795034,-0.268222162751131,0.003805144533752448,-0.268222162751131,2.6078737971489097,1.9719047781003822
2,2.51,0.18000000000000002,-0.7813616763278962,0.0026173257385530566,-0.7157977469984803,-3.27,0.04270000000000003,-3.005180462339167,-0.18000000000000002,0.0,-0.18000000000000002,-0.5372257048238951,0.05140200954750341,-0.5372257048238951,-3.450852303841862,0.34958444956896073,-3.450852303841862,-0.17685249931795527,0.004460064242536651,-0.17685249931795527,2.6078737971489097,1.9719047781003822
3,2.38,1.0,-0.9307647394428882,0.0007270215777559685,-0.8962098318526738,-2.466666666666667,0.006433333333333345,-2.3638758982543373,-1.0,0.0,-1.0,-0.8826537315769727,0.08558273562236075,-0.8826537315769727,-2.4442010497143722,0.3299050873864062,-2.4442010497143722,-0.9995442400414813,0.0021517549621326232,-0.9995442400414813,2.6367457740322453,2.101808129494496
3,2.33,0.43,-0.9146383723368382,0.000550944307748035,-0.8845575339971609,-2.5933333333333333,0.010233333333333329,-2.4636916546633683,-0.43,0.0,-0.43,-0.7323963889111041,0.0686109370122746,-0.7323963889111041,-2.9320267132848143,0.24601646345986644,-2.9320267132848143,-0.43036958346418885,0.002260064093533768,-0.43036958346418885,2.6367457740322453,2.101808129494496
